Gene	Exon	Transcript
MYD88	4	NM_001172569
MYD88	3	NM_002468
MYD88	4	NM_002468
MYD88	5	NM_002468
NOTCH1	26	NM_017617
NPM1	11	NM_002520
NPM1	10	NM_199185
NRAS	1	NM_002524
NRAS	2	NM_002524
PAK5	2	NM_020341
PAK5	3	NM_020341
PAK5	4	NM_020341
PAK5	6	NM_020341
PAK5	2	NM_177990
PAK5	3	NM_177990
PAK5	4	NM_177990
PAK5	6	NM_177990
PDGFRA	10	NM_006206
PDGFRA	11	NM_006206
PDGFRA	13	NM_006206
PDGFRA	14	NM_006206
PDGFRA	15	NM_006206
PDGFRA	17	NM_006206
PIK3CA	1	NM_006218
PIK3CA	4	NM_006218
PIK3CA	5	NM_006218
PIK3CA	7	NM_006218
PIK3CA	9	NM_006218
PIK3CA	20	NM_006218
PIK3R1	5	NM_001242466
PIK3R1	7	NM_181504
PIK3R1	5	NM_181523
PIK3R1	12	NM_181523
PIK3R1	7	NM_181524
PIK3R2	12	NM_005027
PLCG2	18	NM_002661
PLCG2	23	NM_002661
PRKACA	7	NM_001304349
PRKACA	7	NM_002730
PRKACA	7	NM_207518
PTEN	5	NM_000314
PTEN	6	NM_000314
PTEN	7	NM_000314
PTEN	6	NM_001304717
PTEN	7	NM_001304717
PTEN	8	NM_001304717
PTEN	1	NM_001304718
PTEN	2	NM_001304718
PTPN11	2	NM_002834
PTPN11	3	NM_002834
PTPN11	2	NM_080601
PTPN11	3	NM_080601
RAC1	2	NM_006908
RAC1	2	NM_018890
RAF1	6	NM_002880
RAF1	9	NM_002880
RAF1	13	NM_002880
RET	11	NM_020630
RET	16	NM_020630
RET	11	NM_020975
RET	16	NM_020975
RHOA	1	NM_001313941
RHOA	1	NM_001313943
RHOA	1	NM_001313944
RHOA	1	NM_001313946
RHOA	1	NM_001313947
RHOA	1	NM_001664
RIT1	2	NM_001256820
RIT1	3	NM_001256820
RIT1	4	NM_001256821
RIT1	5	NM_001256821
RIT1	3	NM_006912
RIT1	4	NM_006912
ROCK1	30	NM_005406
ROS1	38	NM_002944
RUNX1	2	NM_001001890
RUNX1	3	NM_001001890
RUNX1	2	NM_001122607
RUNX1	3	NM_001122607
RUNX1	4	NM_001754
RUNX1	5	NM_001754
SF3B1	14	NM_012433
SF3B1	15	NM_012433
SH2B3	1	NM_005475
SMAD4	8	NM_005359
SMAD4	11	NM_005359
SMO	1	NM_005631
SMO	3	NM_005631
SMO	5	NM_005631
SMO	6	NM_005631
SMO	8	NM_005631
SMO	9	NM_005631
SMO	10	NM_005631
SMO	12	NM_005631
STAT3	20	NM_003150
STAT3	20	NM_139276
STAT3	20	NM_213662
STAT5B	15	NM_012448
STK11	4	NM_000455
TP53	4	NM_000546
TP53	5	NM_000546
TP53	6	NM_000546
TP53	7	NM_000546
TP53	4	NM_001126112
TP53	5	NM_001126112
TP53	6	NM_001126112
TP53	7	NM_001126112
TP53	4	NM_001126113
TP53	5	NM_001126113
TP53	6	NM_001126113
TP53	7	NM_001126113
TP53	4	NM_001126114
TP53	5	NM_001126114
TP53	6	NM_001126114
TP53	7	NM_001126114
TP53	1	NM_001126115
TP53	2	NM_001126115
TP53	3	NM_001126115
TP53	4	NM_001126115
TP53	1	NM_001126116
TP53	2	NM_001126116
TP53	3	NM_001126116
TP53	4	NM_001126116
TP53	1	NM_001126117
TP53	2	NM_001126117
TP53	3	NM_001126117
TP53	4	NM_001126117
TP53	2	NM_001126118
TP53	3	NM_001126118
TP53	4	NM_001126118
TP53	5	NM_001126118
TP53	2	NM_001276695
TP53	3	NM_001276695
TP53	4	NM_001276695
TP53	5	NM_001276695
TP53	2	NM_001276696
TP53	3	NM_001276696
TP53	4	NM_001276696
TP53	5	NM_001276696
TP53	1	NM_001276697
TP53	2	NM_001276697
TP53	3	NM_001276697
TP53	4	NM_001276697
TP53	1	NM_001276698
TP53	2	NM_001276698
TP53	3	NM_001276698
TP53	4	NM_001276698
TP53	1	NM_001276699
TP53	2	NM_001276699
TP53	3	NM_001276699
TP53	4	NM_001276699
TP53	2	NM_001276760
TP53	3	NM_001276760
TP53	4	NM_001276760
TP53	5	NM_001276760
TP53	2	NM_001276761
TP53	3	NM_001276761
TP53	4	NM_001276761
TP53	5	NM_001276761
TRRAP	17	NM_001244580
TRRAP	17	NM_003496
TSC1	13	NM_000368
TSC1	15	NM_000368
TSC1	13	NM_001162426
TSC1	15	NM_001162426
TSC1	12	NM_001162427
TSC1	14	NM_001162427
TYK2	1	NM_003331
TYK2	12	NM_003331
TYK2	14	NM_003331
TYK2	18	NM_003331
TYK2	20	NM_003331
U2AF1	2	NM_001025203
U2AF1	6	NM_001025203
U2AF1	3	NM_001025204
U2AF1	2	NM_006758
U2AF1	6	NM_006758
WT1	6	NM_000378
WT1	7	NM_001198551
WT1	6	NM_001198552
WT1	7	NM_024424
WT1	7	NM_024426
